name,compiler,type,threads,input,instructions,instructions:u,time,mpxbtnum,mpx_new_bounds_table ,instructions:k,mpxerrors
xalancbmk,gcc,mpx_no_narrow_bounds,1,None,13905402288605,13902221209141,2251.81824547,,376,3181079464,
soplex,gcc,mpx_no_narrow_bounds,1,None,,,,,,,
mcf,gcc,mpx_no_narrow_bounds_only_write,1,None,1091107547249,1085765374104,548.95127711,,1680,5342173145,
gcc,gcc,mpx_no_narrow_bounds_only_write,1,None,10659687269,8540700468,5.094599363,,1445,2118986801,
sphinx3,gcc,mpx_no_narrow_bounds_only_write,1,None,272003760473,271931320105,29.43544305,,25,72440368,
sjeng,gcc,mpx_no_narrow_bounds_only_write,1,None,5050024548450,5049260454952,698.443415516,,3,764093498,
hmmer,gcc,mpx_no_narrow_bounds_only_write,1,None,8235060290534,8234112408915,876.201518354,,2,947881619,
perlbench,gcc,mpx_no_narrow_bounds_only_write,1,None,1423002673341,1421452797450,171.828472709,,734,1549875891,
h264ref,gcc,mpx_no_narrow_bounds_only_write,1,None,914687840562,914524786297,124.418587786,,19,163054265,
dealII,gcc,mpx_no_narrow_bounds_only_write,1,None,796862739218,796481932535,108.434811713,,218,380806683,
lbm,gcc,mpx_no_narrow_bounds_only_write,1,None,4254617601954,4253656270534,877.190982344,,2,961331420,
omnetpp,gcc,mpx_no_narrow_bounds_only_write,1,None,2727559402104,2726262620869,923.11762442,,178,1296781235,
astar,gcc,mpx_no_narrow_bounds_only_write,1,None,2439013223666,2438259842907,452.388867223,,179,753380759,
milc,gcc,mpx_no_narrow_bounds_only_write,1,None,219574802720,218698649223,33.105881392,,7,876153497,
libquantum,gcc,mpx_no_narrow_bounds_only_write,1,None,6170899489459,6170217562306,568.503691592,,2,681927153,
povray,gcc,mpx_no_narrow_bounds_only_write,1,None,3348255331577,3347493697595,509.614927122,,5,761633982,
gobmk,gcc,mpx_no_narrow_bounds_only_write,1,None,579613964308,579463494944,106.286580097,,32,150469364,
bzip2,gcc,mpx_no_narrow_bounds_only_write,1,None,471698260990,471548274674,57.454574279,,64,149986316,
namd,gcc,mpx_no_narrow_bounds_only_write,1,None,2914043059705,2913197976676,751.443913182,,8,845083029,
xalancbmk,gcc,mpx_no_narrow_bounds_only_write,1,None,10458022152607,10455116058727,1995.019615095,,376,2906093880,
soplex,gcc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
mcf,icc,mpx,1,None,1497154384216,1491632945165,926.312598689,,1680,5521439051,
gcc,icc,mpx,1,None,,,,,,,
sphinx3,icc,mpx,1,None,376752323177,376659107034,50.133754383,,26,93216143,
sjeng,icc,mpx,1,None,7527530025539,7526436273885,1006.083518094,,4,1093751654,
hmmer,icc,mpx,1,None,11613902102450,11612251488771,1533.364646081,,4,1650613679,
perlbench,icc,mpx,1,None,2027975641116,2026394551975,430.06968461,,687,1581089141,
h264ref,icc,mpx,1,None,1401944933143,1401660781298,240.122101141,,19,284151845,
dealII,icc,mpx,1,None,,,,,,,
lbm,icc,mpx,1,None,5136385010824,5135608823237,708.981392814,,2,776187587,
omnetpp,icc,mpx,1,None,,,,,,,
astar,icc,mpx,1,None,3844794788064,3843666158179,810.411954761,,174,1128629885,
milc,icc,mpx,1,None,218642390411,217764254492,37.497919078,,8,878135919,
libquantum,icc,mpx,1,None,8536059474823,8534817909931,1114.397347989,,2,1241564892,
povray,icc,mpx,1,None,4733409233065,4731982323391,1105.44767168,,7,1426909674,
gobmk,icc,mpx,1,None,812145615326,811945857659,152.469851083,,34,199757667,
bzip2,icc,mpx,1,None,750440528929,750292670135,121.708063518,,3,147858794,
namd,icc,mpx,1,None,3975786344414,3974780645923,891.706957911,,8,1005698491,
xalancbmk,icc,mpx,1,None,,,,,,,
soplex,icc,mpx,1,None,,,,,,,
mcf,icc,mpx_only_write,1,None,1118031428477,1112860079174,617.362788002,,1680,5171349303,
gcc,icc,mpx_only_write,1,None,,,,,,,
sphinx3,icc,mpx_only_write,1,None,274212285184,274135476101,33.088788266,,25,76809083,
sjeng,icc,mpx_only_write,1,None,6208446831694,6207492977029,865.918358438,,3,953854665,
hmmer,icc,mpx_only_write,1,None,7918286517945,7917185526628,1000.378866079,,4,1100991317,
perlbench,icc,mpx_only_write,1,None,1628389463742,1626887314402,335.650073079,,691,1502149340,
h264ref,icc,mpx_only_write,1,None,1117378492419,1117176206985,162.854610858,,18,202285434,
dealII,icc,mpx_only_write,1,None,,,,,,,
lbm,icc,mpx_only_write,1,None,4023239237676,4022573481510,600.77680594,,2,665756166,
omnetpp,icc,mpx_only_write,1,None,,,,,,,
astar,icc,mpx_only_write,1,None,2937913064141,2936981775507,619.363941205,,173,931288634,
milc,icc,mpx_only_write,1,None,178409672666,177535014343,32.403191409,,7,874658323,
libquantum,icc,mpx_only_write,1,None,5487103739150,5486401910363,583.958144741,,2,701828787,
povray,icc,mpx_only_write,1,None,3841944351696,3840853205031,805.980130274,,7,1091146665,
gobmk,icc,mpx_only_write,1,None,650405708090,650231919459,128.532718338,,31,173788631,
bzip2,icc,mpx_only_write,1,None,593804064790,593686586547,93.492854207,,2,117478243,
namd,icc,mpx_only_write,1,None,3219508111476,3218525863349,870.83701978,,8,982248127,
xalancbmk,icc,mpx_only_write,1,None,,,,,,,
soplex,icc,mpx_only_write,1,None,,,,,,,
mcf,icc,mpx_no_narrow_bounds,1,None,1496506182167,1491632943039,928.111400272,,1680,4873239128,
gcc,icc,mpx_no_narrow_bounds,1,None,,,,,,,
sphinx3,icc,mpx_no_narrow_bounds,1,None,376410566688,376316770368,50.258222503,,26,93796320,
sjeng,icc,mpx_no_narrow_bounds,1,None,7527537785135,7526436274723,1003.773194496,,4,1101510412,
hmmer,icc,mpx_no_narrow_bounds,1,None,11613929411537,11612251483571,1541.372350604,,4,1677927966,
perlbench,icc,mpx_no_narrow_bounds,1,None,2016790259047,2015194309301,430.431314507,,693,1595949746,
h264ref,icc,mpx_no_narrow_bounds,1,None,1396826277543,1396542633464,235.90102916,,19,283644079,
dealII,icc,mpx_no_narrow_bounds,1,None,,,,,,,
lbm,icc,mpx_no_narrow_bounds,1,None,5136397366747,5135608824660,710.668324193,,2,788542087,
omnetpp,icc,mpx_no_narrow_bounds,1,None,,,,,,,
astar,icc,mpx_no_narrow_bounds,1,None,3609053672466,3607944061680,786.258384524,,174,1109610786,
milc,icc,mpx_no_narrow_bounds,1,None,216252963236,215374238041,37.370642197,,8,878725195,
libquantum,icc,mpx_no_narrow_bounds,1,None,8536101374224,8534817910597,1115.078277344,,2,1283463627,
povray,icc,mpx_no_narrow_bounds,1,None,4386029806537,4384752819796,961.746081436,,7,1276986741,
gobmk,icc,mpx_no_narrow_bounds,1,None,783886955624,783696891267,142.318370499,,34,190064357,
bzip2,icc,mpx_no_narrow_bounds,1,None,750287558269,750139913763,121.54124737,,3,147644506,
namd,icc,mpx_no_narrow_bounds,1,None,3975332108178,3974331483164,892.913102802,,8,1000625014,
xalancbmk,icc,mpx_no_narrow_bounds,1,None,,,,,,,
soplex,icc,mpx_no_narrow_bounds,1,None,,,,,,,
mcf,icc,mpx_no_narrow_bounds_only_write,1,None,1117989097031,1112860077015,618.554620947,,1680,5129020016,
gcc,icc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
sphinx3,icc,mpx_no_narrow_bounds_only_write,1,None,273871044063,273794247253,32.984396585,,25,76796810,
sjeng,icc,mpx_no_narrow_bounds_only_write,1,None,6208456904678,6207492977062,866.808255131,,3,963927616,
hmmer,icc,mpx_no_narrow_bounds_only_write,1,None,7918270584510,7917185515982,994.233606355,,4,1085068528,
perlbench,icc,mpx_no_narrow_bounds_only_write,1,None,1617171082536,1615691981021,319.370743785,,685,1479101515,
h264ref,icc,mpx_no_narrow_bounds_only_write,1,None,1112329186634,1112129131533,159.156848721,,18,200055101,
dealII,icc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
lbm,icc,mpx_no_narrow_bounds_only_write,1,None,4023238443963,4022573481492,600.835891882,,2,664962471,
omnetpp,icc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
astar,icc,mpx_no_narrow_bounds_only_write,1,None,2702145467209,2701259673233,577.424175287,,173,885793976,
milc,icc,mpx_no_narrow_bounds_only_write,1,None,176022888897,175147046023,31.831636491,,7,875842874,
libquantum,icc,mpx_no_narrow_bounds_only_write,1,None,5487105523316,5486401910626,583.962463027,,2,703612690,
povray,icc,mpx_no_narrow_bounds_only_write,1,None,3490475839901,3489498359266,704.783407899,,8,977480635,
gobmk,icc,mpx_no_narrow_bounds_only_write,1,None,631050497125,630886895344,119.261851193,,31,163601781,
bzip2,icc,mpx_no_narrow_bounds_only_write,1,None,593647137748,593533829276,89.804214949,,2,113308472,
namd,icc,mpx_no_narrow_bounds_only_write,1,None,3219052913125,3218076699046,869.487953533,,8,976214079,
xalancbmk,icc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
soplex,icc,mpx_no_narrow_bounds_only_write,1,None,,,,,,,
xalancbmk,softbound,native,1,None,6442554962475,6441467909578,780.896461361,,0,1087052897,
mcf,softbound,native,1,None,848815971036,848389219547,351.258146961,,0,426751489,
libquantum,softbound,native,1,None,6182607570294,6181970582983,526.769846783,,0,636987311,
omnetpp,softbound,native,1,None,,,,,,,
sphinx3,softbound,native,1,None,192110443146,192054928564,30.155069698,,0,55514582,
bzip2,softbound,native,1,None,432622963569,432544896805,57.860144344,,0,78066764,
h264ref,softbound,native,1,None,708905039561,708796751881,84.791343259,,0,108287680,
dealII,softbound,native,1,None,623971759942,623719888046,67.386152013,,0,251871896,
sjeng,softbound,native,1,None,3958320655992,3957585909727,671.818478842,,0,734746265,
gcc,softbound,native,1,None,7548115059,6617509527,3.308315553,,0,930605532,
lbm,softbound,native,1,None,2981658210108,2980822435200,760.306284051,,0,835774908,
hmmer,softbound,native,1,None,4676116039873,4675338896132,717.118443799,,0,777143741,
namd,softbound,native,1,None,2528582467741,2527810541618,691.641217525,,0,771926123,
gobmk,softbound,native,1,None,389134052268,389034410024,80.877378428,,0,99642244,
astar,softbound,native,1,None,1788589484220,1788105445899,353.265343199,,0,484038321,
perlbench,softbound,native,1,None,1148123069071,1147513471653,123.73693351,,0,609597418,
milc,softbound,native,1,None,134751234013,133879010030,38.756817996,,0,872223983,
soplex,softbound,native,1,None,222087794644,221516341808,31.904372835,,0,571452836,
povray,softbound,native,1,None,2033365512233,2032815996011,305.275614441,,0,549516222,
xalancbmk,softbound,enabled,1,None,,,,,,,
mcf,softbound,enabled,1,None,4044849420492,4034455507357,1038.286182911,,0,10393913135,
libquantum,softbound,enabled,1,None,,,,,,,
omnetpp,softbound,enabled,1,None,,,,,,,
sphinx3,softbound,enabled,1,None,659531087645,659453991905,48.457979979,,0,77095740,
bzip2,softbound,enabled,1,None,1429097023047,1428954038063,112.837399572,,0,142984984,
h264ref,softbound,enabled,1,None,3025495468259,3025177758418,275.311690367,,0,317709841,
dealII,softbound,enabled,1,None,,,,,,,
sjeng,softbound,enabled,1,None,6628581224938,6627805144965,708.222721114,,0,776079973,
gcc,softbound,enabled,1,None,,,,,,,
lbm,softbound,enabled,1,None,7442169565034,7441360866655,741.44344421,,0,808698379,
hmmer,softbound,enabled,1,None,20653976677742,20652205015118,1644.039966329,,0,1771662624,
namd,softbound,enabled,1,None,,,,,,,
gobmk,softbound,enabled,1,None,1161616933572,1161454842667,129.100408482,,0,162090905,
astar,softbound,enabled,1,None,,,,,,,
perlbench,softbound,enabled,1,None,,,,,,,
milc,softbound,enabled,1,None,323415214258,321847392315,36.169516126,,0,1567821943,
soplex,softbound,enabled,1,None,,,,,,,
povray,softbound,enabled,1,None,,,,,,,
xalancbmk,safecode,native,1,None,5795168871290,5794106514815,757.968921714,,0,1062356475,
mcf,safecode,native,1,None,827563661787,827155508053,334.916095234,,0,408153734,
libquantum,safecode,native,1,None,5973392139138,5972775826415,512.481477879,,0,616312723,
omnetpp,safecode,native,1,None,,,,,,,
sphinx3,safecode,native,1,None,191805739695,191749572759,30.537212081,,0,56166936,
bzip2,safecode,native,1,None,419284562244,419206795165,57.813157361,,0,77767079,
h264ref,safecode,native,1,None,701902204181,701797554708,80.630527598,,0,104649473,
dealII,safecode,native,1,None,557067649159,556817905628,65.466617705,,0,249743531,
sjeng,safecode,native,1,None,3989321501017,3988578771438,674.099763543,,0,742729579,
gcc,safecode,native,1,None,7516068491,6583492468,3.31913372,,0,932576023,
lbm,safecode,native,1,None,2981658335285,2980822417470,761.066529236,,0,835917815,
hmmer,safecode,native,1,None,4678609073594,4677837669154,716.773758351,,0,771404440,
namd,safecode,native,1,None,2516526861160,2515756383559,692.191907645,,0,770477601,
gobmk,safecode,native,1,None,390607318019,390508519405,79.582787832,,0,98798614,
astar,safecode,native,1,None,1760251631512,1759774103790,344.92876438,,0,477527722,
perlbench,safecode,native,1,None,1138820355968,1138209797831,125.054140023,,0,610558137,
milc,safecode,native,1,None,134115808678,133241095009,38.536930497,,0,874713669,
soplex,safecode,native,1,None,218184272978,217616232820,31.31216077,,0,568040158,
povray,safecode,native,1,None,1896696497963,1896169949014,282.585519539,,0,526548949,
xalancbmk,safecode,enabled,1,None,1423552651919,1423059408278,232.623899101,,0,493243641,
mcf,safecode,enabled,1,None,29927935620765,29923738828982,3841.889119522,,0,4196791783,
libquantum,safecode,enabled,1,None,186162427240965,186138937834833,21922.901542275,,0,23489406132,
omnetpp,safecode,enabled,1,None,340355921,335988040,0.113840766,,0,4367881,
sphinx3,safecode,enabled,1,None,5629918949981,5629195845883,628.743863682,,0,723104098,
bzip2,safecode,enabled,1,None,9508902661756,9507792176084,1024.008401242,,0,1110485672,
h264ref,safecode,enabled,1,None,20999388898408,20996996683095,2220.982621573,,0,2392215313,
dealII,safecode,enabled,1,None,1086391643157,1086234931127,116.638125256,,0,156712030,
sjeng,safecode,enabled,1,None,90751698468666,90739355911712,11517.006527199,,0,12342556954,
gcc,safecode,enabled,1,None,,,,,,,
lbm,safecode,enabled,1,None,7387517939410,7386494761510,925.358515298,,0,1023177900,
hmmer,safecode,enabled,1,None,1074906018829,1074765339077,125.059805977,,0,140679752,
namd,safecode,enabled,1,None,18917666022,18884350445,2.198053769,,0,33315577,
gobmk,safecode,enabled,1,None,2026605523,2015355020,0.253075015,,0,11250503,
astar,safecode,enabled,1,None,90561037391,90519163482,10.803390145,,0,41873909,
perlbench,safecode,enabled,1,None,121301247111,121217039890,19.108824206,,0,84207221,
milc,safecode,enabled,1,None,400107692890,400037888365,48.735521869,,0,69804525,
soplex,safecode,enabled,1,None,405158248091,405014639172,46.044352532,,0,143608919,
povray,safecode,enabled,1,None,105913279713,105888559731,12.375238229,,0,24719982,
