name,compiler,type,threads,input,bndldx,mpxbtnum,bndstx,bndmovreg,sgxtime,sgxmem,bndmovmem,instructions,memory_reads,bndcu,bndmk,mpxerrors,bndcl,memory_writes
astar,gcc,mpx,1,native,60349217945,,1149818829,14043335624,,,33515244833,1778791282136,398202982202,275045600240,1751311,,275045600240,122121478409
astar,gcc,mpx_only_write,1,native,14470267124,,1149818829,6501642199,,,16716986233,816794054818,225980885635,22272660380,1524527,,22272660380,61187791803
astar,icc,mpx,1,native,30658775294,,573434983,27768767,,,22742911758,889104200159,188919003478,102290849616,10955176,,107358448400,48751040980
astar,icc,mpx_only_write,1,native,8599842377,,573405973,27716077,,,20178048166,691057826069,190168498869,17958161100,10889523,,17968445750,53762817542
bzip2,gcc,mpx,1,native,2715186303,,273754895,1306222914,,,4889701110,357488530695,52874768326,59333056245,266885650,,59333056245,25300470889
bzip2,gcc,mpx_only_write,1,native,1811211789,,273754895,600703546,,,1892660417,225824382562,45419455504,17085093238,18894323,,17085093238,22433284568
bzip2,icc,mpx,1,native,1361549906,,270069371,4104259,,,2284900180,237665600813,40460401905,32262632385,474139184,,24634964609,21082169187
bzip2,icc,mpx_only_write,1,native,1185853551,,182312173,4194214,,,1405489675,205519508511,40689596080,15606830220,25972619,,7377777625,21128262217
dealII,gcc,mpx,1,native,11568818808,,3413899792,135092998,,,4269347408,200425130928,52895909005,28125628013,113947542,,28125628013,16367527399
dealII,gcc,mpx_only_write,1,native,4065663482,,3345345247,42809435,,,1614351203,105536557158,35569202082,2378604383,59201217,,2378604383,10611002780
dealII,icc,mpx,1,native,4493847750,,65817415,127941632,,,3130388361,109148325333,27705402976,12856264918,85340543,,12833738956,6591586698
dealII,icc,mpx_only_write,1,native,1304534403,,65182265,108629758,,,1380850324,79605699450,27419829498,1375012782,55679438,,1375001467,6606339632
gcc,gcc,mpx,1,native,211717849,,54559171,68688668,,,450165850,8728179023,1249086099,675479186,8431684,,675479285,2496421633
gcc,gcc,mpx_only_write,1,native,116046482,,54434250,46328997,,,200200371,6572818040,1001982073,108955112,9491476,,108955216,2406002866
gcc,icc,mpx,1,native,205933535,,90232581,30758853,,,361970668,6138256770,937729621,426687264,74827766,,410950987,717114113
gcc,icc,mpx_only_write,1,native,152748771,,89505615,23448025,,,203286839,5096832455,929494843,80700794,22840763,,79077718,712132062
gobmk,gcc,mpx,1,native,13121761374,,5443461740,1024713553,,,21550542676,457695671939,93357648535,55725963786,1232402478,,55725972780,46489883633
gobmk,gcc,mpx_only_write,1,native,6817015455,,5443203425,729797727,,,9399277646,300418350557,69627931995,11213800729,804181296,,11213809723,39495371180
gobmk,icc,mpx,1,native,3486750825,,3156514269,530419475,,,9731064271,319655962166,56084576769,36089893425,8340231204,,35753237907,33292142204
gobmk,icc,mpx_only_write,1,native,3287071445,,3156319968,602141168,,,4510008224,245174670046,55400547479,8087326764,2621445943,,8067392557,33086320781
h264ref,gcc,mpx,1,native,31531064305,,83344929,766051179,,,12139167799,854200088234,393563308020,90458945000,173070568,,90458945000,281568281642
h264ref,gcc,mpx_only_write,1,native,3266260701,,82065185,491606320,,,5418957035,572151022396,365199140577,9181227477,62856810,,9181227477,276989064808
h264ref,icc,mpx,1,native,7760133277,,677220038,543016339,,,7902101686,358065076434,104831707885,37925033616,1623277400,,36258299401,28784693976
h264ref,icc,mpx_only_write,1,native,2315791222,,621168611,418512906,,,4597365258,277861004520,104742532259,4447706763,621310371,,4261752562,28674718128
hmmer,gcc,mpx,1,native,16761815035,,2549425,558987980,,,422548247014,5864476313536,2043262175368,1023760978401,3000155,,1023760978466,460801281830
hmmer,gcc,mpx_only_write,1,native,3780968157,,2549425,4500733,,,1678763266,2189999277755,767067450097,175109111173,3000155,,175109111238,180769046696
hmmer,icc,mpx,1,native,3342134713,,279987095,555999975,,,286560876482,2431723595227,564847938781,403056745893,837392023,,403203488717,77910129055
hmmer,icc,mpx_only_write,1,native,1114147397,,2703768,278243832,,,1402951395,1391490161659,561330444538,65032330325,1113067952,,65454817564,77077646054
lbm,gcc,mpx,1,native,12064,,6008,5,,,7885095,2515311413868,666109761011,333288234224,4,,333288234224,275845304711
lbm,gcc,mpx_only_write,1,native,12064,,6008,6,,,2716258,1403755879260,229193426656,74153871121,4,,74153871121,103227859864
lbm,icc,mpx,1,native,12065,,6014,109,,,2716283,1214273088276,229673083527,11765324900,159,,11765297832,124664501488
lbm,icc,mpx_only_write,1,native,12061,,6008,105,,,2716276,1198554160103,229616083260,3902924850,159,,3902897782,124664500630
libquantum,gcc,mpx,1,native,277360424966,,5348160654,104400,,,2093827546,4612284163478,774316253365,903583815525,102352,,903583815583,81692722084
libquantum,gcc,mpx_only_write,1,native,217127767808,,5348160654,2420,,,150044930,2767477413950,506570428801,70397472404,102352,,70397472462,77771456817
libquantum,icc,mpx,1,native,2711146860,,4404530481,881049696,,,1762121991,1564851769770,220703585847,90383205043,306241,,55195801179,103209598626
libquantum,icc,mpx_only_write,1,native,2654575887,,4404530472,881049703,,,881113502,1398017016640,220618641346,23645809931,306241,,23473301693,103154882240
mcf,gcc,mpx,1,native,40657137074,,11476661868,3779895050,,,10260926703,779649127156,135697640379,142178451319,21673609,,142178451319,33777506388
mcf,gcc,mpx_only_write,1,native,18252991900,,11476661868,1919007063,,,1261846206,409383050638,107007176634,29183140896,21673609,,29183140896,32329997650
mcf,icc,mpx,1,native,38804873841,,11365041549,4491986254,,,1724115998,519710187806,101864542683,74854803368,749885829,,78549529066,30645294928
mcf,icc,mpx_only_write,1,native,15616500577,,11364831050,4078684228,,,727034369,380644604288,101774230960,14262360204,702880511,,14262324084,30555405355
milc,gcc,mpx,1,native,405805423,,88688214,102294250,,,474012690,71895331622,14113156618,13232877757,2586487,,13232877765,4838211492
milc,gcc,mpx_only_write,1,native,130827006,,88688214,101993787,,,418844663,39115777447,11078286680,3095630147,2253696,,3095630155,3571561809
milc,icc,mpx,1,native,184919175,,28885634,92037165,,,470641127,34727852558,10014270971,1095759877,22175598,,1095604357,3454063797
milc,icc,mpx_only_write,1,native,104994945,,28885580,69289721,,,444186370,32973354460,10006422701,300228772,22123,,300228772,3454055411
namd,gcc,mpx,1,native,4246604713,,1881290,28700265,,,26260920555,1725406625423,299999756469,243731865596,2068577,,243731865596,72497752162
namd,gcc,mpx_only_write,1,native,26787057,,1881290,428073,,,865137063,1222194293597,286958345749,38926420834,2068703,,38926420834,66344555302
namd,icc,mpx,1,native,228228895,,2691401,4358702,,,19006863124,1299276090983,254857655478,81099791078,2544089,,75179148882,61406637370
namd,icc,mpx_only_write,1,native,3531411,,2411842,313,,,385789765,1145333655808,253425076389,15846486905,2544025,,15846485697,61373914614
omnetpp,gcc,mpx,1,native,84227903083,,23618141222,15887421591,,,54532851361,1425388464157,264007211618,215918980454,8923355,,214985586558,110981591425
omnetpp,gcc,mpx_only_write,1,native,38074708316,,23618902230,9495384487,,,44255199999,837399047551,180704849261,42367375920,8861249,,42367317059,100258263075
omnetpp,icc,mpx,1,native,2196564185,,503699246,157249106,,,1064401507,57279560834,7683964552,4655678472,200185414,,4568618639,3715580050
omnetpp,icc,mpx_only_write,1,native,32219192649,,21018934152,3944434671,,,27892090677,775821172034,173099993884,28257352241,8307458269,,26920883169,99172389041
perlbench,gcc,mpx,1,native,45226494682,,12313488305,2748379352,,,147093290012,1251301893667,237138616845,148679494785,168472561,,148684200040,79139607882
perlbench,gcc,mpx_only_write,1,native,29994773586,,12313488303,2036506503,,,61241423773,836591572297,195808355859,20610379482,168348516,,20615175172,75698800792
perlbench,icc,mpx,1,native,34039595700,,12428760981,5307891098,,,65370464423,980312823734,203568348435,83972673716,20687975397,,66322151436,75210603388
perlbench,icc,mpx_only_write,1,native,28923054926,,12333038835,4795284932,,,65675555201,839495365831,202950926168,16579970391,12012584683,,16570575764,74814899601
povray,gcc,mpx,1,native,91254810343,,23127637850,10196977500,,,74737418940,1930290917907,458483057461,236005661835,4080238058,,236005707613,197010941662
povray,gcc,mpx_only_write,1,native,48207673832,,22773757889,3229431742,,,48781182440,1233823602355,388749858183,26484591052,3921423267,,26484636830,175276268954
povray,icc,mpx,1,native,46311599770,,9619916851,22920296424,,,76037716890,1262273891099,305941880164,94066025958,4059108349,,83250277592,131633349947
povray,icc,mpx_only_write,1,native,35091930494,,9583174303,22729913771,,,48050548049,1106783426149,312172158950,12873372799,3648610289,,12709040000,138709933837
sjeng,gcc,mpx,1,native,20505837318,,271155327,4279640064,,,236874700446,4131325745461,698303784069,481086037487,3895095395,,481086037487,264503653053
sjeng,gcc,mpx_only_write,1,native,18642245587,,271155327,1022356439,,,37378087922,2567347689250,556003486059,70873128981,3895088055,,70873128981,199484418153
sjeng,icc,mpx,1,native,5542046801,,544516892,1700115201,,,60186545504,3063324072075,510748636145,330167643729,123149871096,,330881402238,203977403040
sjeng,icc,mpx_only_write,1,native,4636478309,,544516632,10858,,,11494750020,2231779974278,506556147339,57323903905,21185930684,,57323903905,198715492376
soplex,gcc,mpx,1,native,6334907171,,354633795,260130936,,,3381126480,202761327881,34888914704,30912977868,35642688,,30912993925,17585389635
soplex,gcc,mpx_only_write,1,native,3096114515,,354689725,119996785,,,255839206,114637946206,26209927267,6064114075,32615251,,6064130132,14445421327
soplex,icc,mpx,1,native,1859455363,,448790977,121493374,,,4117996697,127803993349,24808610462,18000440133,22395352,,14033058039,13907009035
soplex,icc,mpx_only_write,1,native,1359709581,,374941361,43522803,,,824115022,99843327708,24588740510,4967665339,23037518,,4567099849,13812760894
sphinx3,gcc,mpx,1,native,2462436326,,50590843,178393710,,,6841992853,181435457323,31130817300,27243951668,1860001,,27243951668,6229159409
sphinx3,gcc,mpx_only_write,1,native,341734000,,50590413,11301169,,,281965812,98188230403,25072151466,944085284,1686153,,944085284,5312661626
sphinx3,icc,mpx,1,native,1413396062,,27613921,8138256,,,4085351460,94429507056,15488168900,11691015893,3888213,,11331916200,4894914248
sphinx3,icc,mpx_only_write,1,native,245436710,,27788804,31965276,,,125065772,67429712606,15642358537,658678768,3750719,,677323213,4923527530
xalancbmk,gcc,mpx,1,native,469054335011,,267537039637,9614179952,,,42565531303,2973704726206,840636071681,261717957087,2608812122,,261717957045,378443911112
xalancbmk,gcc,mpx_only_write,1,native,469054335011,,267537039637,9614179952,,,42565531303,2973704726206,840636071681,261717957087,2608812122,,261717957045,378443911112
xalancbmk,icc,mpx,1,native,27872140642,,10381824010,4057603905,,,37803231198,1120961132431,212145683534,140430639902,7890202787,,142990357058,67322846517
xalancbmk,icc,mpx_only_write,1,native,16585109351,,10216318817,2836019535,,,30816776170,829818750505,211571590780,9008875458,6182710655,,8833918035,67114654463
